data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,type
357.06,336.25,218.88,253.06,215.84,223.61,269.04,403.81,396.31,778.58,593.63,474.36,243.07,386.51,278.7,399,68037,70186,50766,44408,41961,46438,54303,70186,81943,1.24E+05,1.18E+05,90535,48030,58888,55749,77029,1
342.3,300.28,195.74,246.51,200.95,253.22,282.64,352.34,373.57,802.54,556.55,447.03,262.07,415.28,272,370.76,70197,64487,46228,42834,40684,48209,54969,64955,77075,1.29E+05,1.12E+05,87625,48086,63926,54091,72027,1
338.76,291.54,202.62,238.77,198.99,249.99,295.64,355.31,372.92,769.8,557.29,466.46,258.87,458.1,272.9,379.57,69926,66279,45111,41239,40677,48296,56732,63055,76798,1.22E+05,1.11E+05,87626,47595,72165,56340,73484,1
330.78,274.05,181.94,200.54,195.15,238.84,254.79,313.41,378.85,801.43,578.59,510.2,260.03,436.57,244.51,348.82,69614,63496,41173,37847,39006,44440,52921,57568,81187,1.27E+05,1.08E+05,94185,46222,70878,54068,66259,1
308.34,263.22,180.39,211.24,199.25,220.48,223.96,313.93,352.98,710.35,562.72,494.21,224.16,407.54,236.81,339.07,62117,62832,40488,38188,37294,43351,47514,56040,78659,1.10E+05,1.04E+05,92023,42931,66168,52597,61331,1
317.79,240.42,184.3,223.16,200.35,228.65,219.25,302.23,347.29,704.66,526.37,479.25,229.98,412.17,242.8,338.75,64232,57616,40431,40140,38015,44067,46284,55205,78926,1.15E+05,97371,91406,43859,65990,53117,61142,1
309.53,229.27,193.27,221.42,197.96,245.38,234.02,307.14,311.18,659.94,485.7,415.28,219.45,411.82,232.69,319.39,61417,53782,40800,39241,37895,46836,48676,55907,70268,1.06E+05,92930,85609,42781,60670,49324,57381,1
301.31,222.48,191.31,200.39,189.35,239.73,243.76,275.17,313.13,688.82,476.69,431.44,233.66,404.21,215.33,303.63,60479,50929,39487,35916,36612,43709,49848,51772,67353,1.11E+05,92008,82271,41722,61322,45244,54250,1
285.04,226.02,177.84,175.78,174.38,237.34,231.74,287.31,310.22,676.7,504.89,436.29,224.67,407.28,191.73,267.16,56204,50657,38554,33415,36130,43997,50618,54420,64819,1.03E+05,93211,82521,42548,62079,42344,50052,1
277.93,229.88,177.11,180.69,169.09,220.01,224.32,293.15,314.55,641.73,497.72,411.87,211.85,387.75,205.8,270.64,54761,50275,39582,34950,33961,41322,47788,55216,65618,96327,95203,78749,41281,61881,42579,50502,1
274.42,216.09,178.25,184,169.7,212.3,208.31,281.27,287.42,658.09,482.04,391.64,193.47,332.78,195.11,250.89,55807,49696,40442,35224,33382,41986,44686,54106,59357,94630,90088,77782,40534,54196,41612,49379,1
243.11,210.65,181.61,194.8,182.19,186.9,199.04,254.65,278.37,638.71,442.07,342.77,188.03,260.97,190.64,237.76,51673,48410,40180,36673,33408,36906,41960,50247,56445,91378,86252,69428,36309,44846,38140,45570,1
241.67,194.29,169.7,195.84,202.8,186.27,200.44,230.94,253.61,635.61,396.85,339.15,193.54,275.24,165.65,222.85,49715,45942,37346,35385,35355,36200,41491,44914,49518,88364,79132,64359,35933,46943,35542,42992,1
230.44,192.7,157.06,200.19,199.75,175.65,202.65,222.51,244.15,611.13,429.65,337.74,195.61,297.01,157.82,214.66,46995,42970,35105,35864,35515,33418,42228,43431,49995,82237,82925,64304,37675,49411,33813,42011,1
253.79,180.81,146.02,181.7,187.31,166.54,199.87,217.39,235.55,554.86,420.08,335.4,185.65,284.07,144.42,201.75,48117,40863,33016,33584,34148,33199,39814,43943,50510,78406,81660,64043,38032,49800,34343,41262,1
242.42,183.45,146.94,176.41,162.4,152.13,190.18,230.84,229.81,578.55,448.28,379.74,181.86,281.41,140.92,198.38,46739,39842,31992,32320,31524,31083,37248,44895,48972,77390,81142,68518,36738,46407,34022,41067,1
239.76,189.52,146.08,160.25,152.59,144.85,175.53,225.42,235.08,605.9,454.77,383.6,175.24,272.47,147.7,185.16,46058,41355,32295,31941,30385,31201,35692,43150,48522,80731,79557,68005,34271,45132,33789,37329,1
